"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Accenture",1,2,"26292.38","16804.77","AAA","AA+",,
"IBM (IT Services)",2,1,"20366.93","19512.20","AAA","AAA",,
"TCS",3,3,"12814.57","10390.69","AAA-","AA+",,
"Cognizant",4,4,"8704.19","7760.88","AA+","AA+",,
"Infosys",5,5,"6500.66","6035.42","AA+","AA+",,
"Capgemini",6,8,"5921.72","4558.27","AA","AA",,
"DXC Technology",7,6,"5525.01","6035.35","A+","A+",,
"HCL",8,7,"4648.12","4572.60","AA","AA+",,
"Ntt Data",9,"-","4266.16","-","AA-","-",,
"Wipro",10,11,"4001.75","3200.83","AA+","AA+",,
"Atos",11,10,"🔒","🔒","🔒","🔒",,
"Samsung SDS",12,"-","🔒","🔒","🔒","🔒",,
"Fujitsu (IT Services)",13,"-","🔒","🔒","🔒","🔒",,
"Xerox",14,13,"🔒","🔒","🔒","🔒",,
"HPE (IT Services)",15,12,"🔒","🔒","🔒","🔒",,
